Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"NBPF18P","Neuroblastoma Breakpoint Family Member 18, Pseudogene","Pseudogene","14","GC01P152019","17.2","/cgi-bin/carddisp.pl?gene=NBPF18P"
"NBPF2P","Neuroblastoma Breakpoint Family Member 2, Pseudogene","Pseudogene","14","GC01M021423","17.2","/cgi-bin/carddisp.pl?gene=NBPF2P"
"NBPF13P","Neuroblastoma Breakpoint Family Member 13, Pseudogene","Pseudogene","14","GC01M147100","17.2","/cgi-bin/carddisp.pl?gene=NBPF13P"
"NBPF25P","Neuroblastoma Breakpoint Family Member 25, Pseudogene","Pseudogene","12","GC01M145572","17.2","/cgi-bin/carddisp.pl?gene=NBPF25P"
"NBPF21P","Neuroblastoma Breakpoint Family Member 21, Pseudogene","Pseudogene","12","GC03M036633","17.2","/cgi-bin/carddisp.pl?gene=NBPF21P"
"ENO2","Enolase 2","Protein Coding","72","GC12P006913","16.86","/cgi-bin/carddisp.pl?gene=ENO2"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","73","GC01P156786","16.76","/cgi-bin/carddisp.pl?gene=NTRK1"
"QSOX2","Quiescin Sulfhydryl Oxidase 2","Protein Coding","50","GC09M136206","16.61","/cgi-bin/carddisp.pl?gene=QSOX2"
"TP53","Tumor Protein P53","Protein Coding","79","GC17M007661","16.48","/cgi-bin/carddisp.pl?gene=TP53"
"NBPF5P","Neuroblastoma Breakpoint Family Member 5, Pseudogene","Pseudogene","19","GC01P108375","16.24","/cgi-bin/carddisp.pl?gene=NBPF5P"
"SYP","Synaptophysin","Protein Coding","65","GC0XM049187","16.14","/cgi-bin/carddisp.pl?gene=SYP"
"NHEG1","Neuroblastoma Highly Expressed 1","RNA Gene","19","GC06M136982","15.59","/cgi-bin/carddisp.pl?gene=NHEG1"
"DDX1","DEAD-Box Helicase 1","Protein Coding","60","GC02P015682","15.55","/cgi-bin/carddisp.pl?gene=DDX1"
"NGF","Nerve Growth Factor","Protein Coding","72","GC01M115285","15.51","/cgi-bin/carddisp.pl?gene=NGF"
"UBE4B","Ubiquitination Factor E4B","Protein Coding","58","GC01P010032","15.31","/cgi-bin/carddisp.pl?gene=UBE4B"
"EVI5","Ecotropic Viral Integration Site 5","Protein Coding","56","GC01M092446","15.24","/cgi-bin/carddisp.pl?gene=EVI5"
"SLC45A1","Solute Carrier Family 45 Member 1","Protein Coding","41","GC01P008317","15.21","/cgi-bin/carddisp.pl?gene=SLC45A1"
"VIP","Vasoactive Intestinal Peptide","Protein Coding","65","GC06P152750","15.18","/cgi-bin/carddisp.pl?gene=VIP"
"LINC01587","Long Intergenic Non-Protein Coding RNA 1587","RNA Gene","28","GC04P005524","15.07","/cgi-bin/carddisp.pl?gene=LINC01587"
"ARID3B","AT-Rich Interaction Domain 3B","Protein Coding","55","GC15P074541","14.94","/cgi-bin/carddisp.pl?gene=ARID3B"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","73","GC10M032936","14.85","/cgi-bin/carddisp.pl?gene=ITGB1"
"CASP3","Caspase 3","Protein Coding","77","GC04M184627","14.76","/cgi-bin/carddisp.pl?gene=CASP3"
"KIT","KIT Proto-Oncogene Receptor Tyrosine Kinase","Protein Coding","78","GC04P054657","14.75","/cgi-bin/carddisp.pl?gene=KIT"
"KCNQ1OT1","KCNQ1 Opposite Strand/Antisense Transcript 1 (Non-Protein Coding)","RNA Gene","30","GC11M002661","14.69","/cgi-bin/carddisp.pl?gene=KCNQ1OT1"
"KCNQ2","Potassium Voltage-Gated Channel Subfamily Q Member 2","Protein Coding","68","GC20M063400","14.54","/cgi-bin/carddisp.pl?gene=KCNQ2"
"TH","Tyrosine Hydroxylase","Protein Coding","76","GC11M002163","14.53","/cgi-bin/carddisp.pl?gene=TH"
"NTRK2","Neurotrophic Receptor Tyrosine Kinase 2","Protein Coding","77","GC09P084668","14.5","/cgi-bin/carddisp.pl?gene=NTRK2"
"LGI1","Leucine Rich Glioma Inactivated 1","Protein Coding","61","GC10P093757","14.49","/cgi-bin/carddisp.pl?gene=LGI1"
"PROK1","Prokineticin 1","Protein Coding","54","GC01P110451","14.49","/cgi-bin/carddisp.pl?gene=PROK1"
"CAMTA1","Calmodulin Binding Transcription Activator 1","Protein Coding","56","GC01P006845","14.47","/cgi-bin/carddisp.pl?gene=CAMTA1"
"CENPS","Centromere Protein S","Protein Coding","38","GC01P010433","14.38","/cgi-bin/carddisp.pl?gene=CENPS"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","74","GC03M119821","14.3","/cgi-bin/carddisp.pl?gene=GSK3B"
"AURKA","Aurora Kinase A","Protein Coding","72","GC20M056370","14.28","/cgi-bin/carddisp.pl?gene=AURKA"
"CTNNB1","Catenin Beta 1","Protein Coding","78","GC03P041236","14.26","/cgi-bin/carddisp.pl?gene=CTNNB1"
"NBAT1","Neuroblastoma Associated Transcript 1","RNA Gene","16","GC06M022137","14.24","/cgi-bin/carddisp.pl?gene=NBAT1"
"CD44","CD44 Molecule (Indian Blood Group)","Protein Coding","71","GC11P035168","14.22","/cgi-bin/carddisp.pl?gene=CD44"
"ENC1","Ectodermal-Neural Cortex 1","Protein Coding","56","GC05M074627","14.17","/cgi-bin/carddisp.pl?gene=ENC1"
"NGFR","Nerve Growth Factor Receptor","Protein Coding","69","GC17P049495","14.12","/cgi-bin/carddisp.pl?gene=NGFR"
"FAM163A","Family With Sequence Similarity 163 Member A","Protein Coding","50","GC01P179712","14.09","/cgi-bin/carddisp.pl?gene=FAM163A"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","71","GC01P012167","14.08","/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"PROM1","Prominin 1","Protein Coding","63","GC04M015965","14.08","/cgi-bin/carddisp.pl?gene=PROM1"
"CASP8","Caspase 8","Protein Coding","77","GC02P201233","14.05","/cgi-bin/carddisp.pl?gene=CASP8"
"NPY5R","Neuropeptide Y Receptor Y5","Protein Coding","61","GC04P163343","13.93","/cgi-bin/carddisp.pl?gene=NPY5R"
"PRNP","Prion Protein","Protein Coding","68","GC20P004615","13.81","/cgi-bin/carddisp.pl?gene=PRNP"
"NHLH2","Nescient Helix-Loop-Helix 2","Protein Coding","53","GC01M115836","13.81","/cgi-bin/carddisp.pl?gene=NHLH2"
"EPHB2","EPH Receptor B2","Protein Coding","72","GC01P022710","13.63","/cgi-bin/carddisp.pl?gene=EPHB2"
"PLA2G2A","Phospholipase A2 Group IIA","Protein Coding","68","GC01M019975","13.63","/cgi-bin/carddisp.pl?gene=PLA2G2A"
"CORT","Cortistatin","Protein Coding","53","GC01P010449","13.63","/cgi-bin/carddisp.pl?gene=CORT"
"EIF3M","Eukaryotic Translation Initiation Factor 3 Subunit M","Protein Coding","51","GC11P032564","13.63","/cgi-bin/carddisp.pl?gene=EIF3M"
"PRAF2","PRA1 Domain Family Member 2","Protein Coding","50","GC0XM049072","13.63","/cgi-bin/carddisp.pl?gene=PRAF2"
"CYTH2","Cytohesin 2","Protein Coding","60","GC19P048470","13.53","/cgi-bin/carddisp.pl?gene=CYTH2"
"NBLST4","Neuroblastoma, Susceptibility To, 4","Genetic Locus","5","GC06U901853","13.53","/cgi-bin/carddisp.pl?gene=NBLST4"
"NBLST5","Neuroblastoma, Susceptibility To, 5","Genetic Locus","5","GC02U902016","13.53","/cgi-bin/carddisp.pl?gene=NBLST5"
"NBLST6","Neuroblastoma, Susceptibility To, 6","Genetic Locus","5","GC01U902766","13.53","/cgi-bin/carddisp.pl?gene=NBLST6"
"MYC","V-Myc Avian Myelocytomatosis Viral Oncogene Homolog","Protein Coding","77","GC08P127735","13.46","/cgi-bin/carddisp.pl?gene=MYC"
"CASP4","Caspase 4","Protein Coding","67","GC11M104942","13.41","/cgi-bin/carddisp.pl?gene=CASP4"
"FADS1","Fatty Acid Desaturase 1","Protein Coding","63","GC11M061799","13.41","/cgi-bin/carddisp.pl?gene=FADS1"
"PPP2R5D","Protein Phosphatase 2 Regulatory Subunit B'Delta","Protein Coding","61","GC06P042994","13.41","/cgi-bin/carddisp.pl?gene=PPP2R5D"
"GFI1","Growth Factor Independent 1 Transcriptional Repressor","Protein Coding","61","GC01M092412","13.41","/cgi-bin/carddisp.pl?gene=GFI1"
"CD276","CD276 Molecule","Protein Coding","57","GC15P073683","13.41","/cgi-bin/carddisp.pl?gene=CD276"
"NHLH1","Nescient Helix-Loop-Helix 1","Protein Coding","47","GC01P160286","13.41","/cgi-bin/carddisp.pl?gene=NHLH1"
"HNB1","Hereditary Neuroblastoma 1","Genetic Locus","8","GC16U990135","13.36","/cgi-bin/carddisp.pl?gene=HNB1"
"TMSB15A","Thymosin Beta 15a","Protein Coding","44","GC0XM102515","13.35","/cgi-bin/carddisp.pl?gene=TMSB15A"
"CHD5","Chromodomain Helicase DNA Binding Protein 5","Protein Coding","59","GC01M006161","13.27","/cgi-bin/carddisp.pl?gene=CHD5"
"OLFM1","Olfactomedin 1","Protein Coding","59","GC09P135075","13.24","/cgi-bin/carddisp.pl?gene=OLFM1"
"CDK5","Cyclin Dependent Kinase 5","Protein Coding","76","GC07M151053","13.16","/cgi-bin/carddisp.pl?gene=CDK5"
"CDK11B","Cyclin Dependent Kinase 11B","Protein Coding","54","GC01M001637","13.13","/cgi-bin/carddisp.pl?gene=CDK11B"
"CACYBP","Calcyclin Binding Protein","Protein Coding","59","GC01P174968","13.04","/cgi-bin/carddisp.pl?gene=CACYBP"
"ATP7A","ATPase Copper Transporting Alpha","Protein Coding","66","GC0XP077911","13.02","/cgi-bin/carddisp.pl?gene=ATP7A"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","75","GC01M226360","12.96","/cgi-bin/carddisp.pl?gene=PARP1"
"CASP9","Caspase 9","Protein Coding","73","GC01M015565","12.96","/cgi-bin/carddisp.pl?gene=CASP9"
"CDK11A","Cyclin Dependent Kinase 11A","Protein Coding","55","GC01M001702","12.96","/cgi-bin/carddisp.pl?gene=CDK11A"
"GPC3","Glypican 3","Protein Coding","66","GC0XM133535","12.91","/cgi-bin/carddisp.pl?gene=GPC3"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","81","GC14M104769","12.91","/cgi-bin/carddisp.pl?gene=AKT1"
"CYCS","Cytochrome C, Somatic","Protein Coding","70","GC07M025158","12.91","/cgi-bin/carddisp.pl?gene=CYCS"
"AXIN2","Axin 2","Protein Coding","71","GC17M065528","12.73","/cgi-bin/carddisp.pl?gene=AXIN2"
"AATK","Apoptosis Associated Tyrosine Kinase","Protein Coding","55","GC17M081117","12.73","/cgi-bin/carddisp.pl?gene=AATK"
"ALX3","ALX Homeobox 3","Protein Coding","47","GC01M110059","12.73","/cgi-bin/carddisp.pl?gene=ALX3"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","69","GC11P112961","12.68","/cgi-bin/carddisp.pl?gene=NCAM1"
"KNG1","Kininogen 1","Protein Coding","65","GC03P186717","12.68","/cgi-bin/carddisp.pl?gene=KNG1"
"HAND2-AS1","HAND2 Antisense RNA 1 (Head To Head)","RNA Gene","19","GC04P173527","12.65","/cgi-bin/carddisp.pl?gene=HAND2-AS1"
"LRRC17","Leucine Rich Repeat Containing 17","Protein Coding","47","GC07P102912","12.63","/cgi-bin/carddisp.pl?gene=LRRC17"
"GCN1","GCN1, EIF2 Alpha Kinase Activator Homolog","Protein Coding","36","GC12M120128","12.59","/cgi-bin/carddisp.pl?gene=GCN1"
"DHRS3","Dehydrogenase/Reductase 3","Protein Coding","60","GC01M012567","12.49","/cgi-bin/carddisp.pl?gene=DHRS3"
"LYN","LYN Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","76","GC08P055879","12.49","/cgi-bin/carddisp.pl?gene=LYN"
"ENPP2","Ectonucleotide Pyrophosphatase/Phosphodiesterase 2","Protein Coding","67","GC08M119556","12.49","/cgi-bin/carddisp.pl?gene=ENPP2"
"KRT1","Keratin 1","Protein Coding","65","GC12M052674","12.37","/cgi-bin/carddisp.pl?gene=KRT1"
"ARHGAP32","Rho GTPase Activating Protein 32","Protein Coding","52","GC11M128965","12.37","/cgi-bin/carddisp.pl?gene=ARHGAP32"
"CD38","CD38 Molecule","Protein Coding","66","GC04P015779","12.31","/cgi-bin/carddisp.pl?gene=CD38"
"NAV2","Neuron Navigator 2","Protein Coding","52","GC11P019345","12.25","/cgi-bin/carddisp.pl?gene=NAV2"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","82","GC08M038411","12.09","/cgi-bin/carddisp.pl?gene=FGFR1"
"KCNH1","Potassium Voltage-Gated Channel Subfamily H Member 1","Protein Coding","65","GC01M210678","12.09","/cgi-bin/carddisp.pl?gene=KCNH1"
"CNTN1","Contactin 1","Protein Coding","64","GC12P040692","12.09","/cgi-bin/carddisp.pl?gene=CNTN1"
"CDK13","Cyclin Dependent Kinase 13","Protein Coding","54","GC07P039950","12.09","/cgi-bin/carddisp.pl?gene=CDK13"
"ZBTB48","Zinc Finger And BTB Domain Containing 48","Protein Coding","51","GC01P006579","12.09","/cgi-bin/carddisp.pl?gene=ZBTB48"
"DUSP26","Dual Specificity Phosphatase 26","Protein Coding","50","GC08M033591","12.09","/cgi-bin/carddisp.pl?gene=DUSP26"
"CAMTA2","Calmodulin Binding Transcription Activator 2","Protein Coding","47","GC17M004969","12.09","/cgi-bin/carddisp.pl?gene=CAMTA2"
"CELF2","CUGBP, Elav-Like Family Member 2","Protein Coding","56","GC10P010796","11.82","/cgi-bin/carddisp.pl?gene=CELF2"
"SNHG16","Small Nucleolar RNA Host Gene 16","RNA Gene","19","GC17P076559","11.82","/cgi-bin/carddisp.pl?gene=SNHG16"
"NSD1","Nuclear Receptor Binding SET Domain Protein 1","Protein Coding","61","GC05P177134","11.32","/cgi-bin/carddisp.pl?gene=NSD1"
"RET","Ret Proto-Oncogene","Protein Coding","79","GC10P043040","11.26","/cgi-bin/carddisp.pl?gene=RET"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","68","GC11M002130","10.99","/cgi-bin/carddisp.pl?gene=IGF2"
"GPC4","Glypican 4","Protein Coding","66","GC0XM133300","10.78","/cgi-bin/carddisp.pl?gene=GPC4"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","71","GC05M037812","10.34","/cgi-bin/carddisp.pl?gene=GDNF"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","82","GC03M012583","10.15","/cgi-bin/carddisp.pl?gene=RAF1"
"EDN3","Endothelin 3","Protein Coding","66","GC20P059300","10.04","/cgi-bin/carddisp.pl?gene=EDN3"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","68","GC01M017020","9.92","/cgi-bin/carddisp.pl?gene=SDHB"
"MLH1","MutL Homolog 1","Protein Coding","68","GC03P036993","9.48","/cgi-bin/carddisp.pl?gene=MLH1"
"MSH2","MutS Homolog 2","Protein Coding","68","GC02P047402","9.48","/cgi-bin/carddisp.pl?gene=MSH2"
"MSH6","MutS Homolog 6","Protein Coding","66","GC02P047695","9.48","/cgi-bin/carddisp.pl?gene=MSH6"
"H19","H19, Imprinted Maternally Expressed Transcript (Non-Protein Coding)","RNA Gene","32","GC11M001995","9.48","/cgi-bin/carddisp.pl?gene=H19"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","79","GC07M140719","9.25","/cgi-bin/carddisp.pl?gene=BRAF"
"PTPN11","Protein Tyrosine Phosphatase, Non-Receptor Type 11","Protein Coding","74","GC12P112418","9.25","/cgi-bin/carddisp.pl?gene=PTPN11"
"RUNX1","Runt Related Transcription Factor 1","Protein Coding","68","GC21M034787","9.25","/cgi-bin/carddisp.pl?gene=RUNX1"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","66","GC07M005973","9.25","/cgi-bin/carddisp.pl?gene=PMS2"
"NSUN2","NOP2/Sun RNA Methyltransferase Family Member 2","Protein Coding","59","GC05M006599","9.25","/cgi-bin/carddisp.pl?gene=NSUN2"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","72","GC13P048303","8.79","/cgi-bin/carddisp.pl?gene=RB1"
"LIG4","DNA Ligase 4","Protein Coding","68","GC13M108207","8.71","/cgi-bin/carddisp.pl?gene=LIG4"
"CDKN1C","Cyclin Dependent Kinase Inhibitor 1C","Protein Coding","66","GC11M002904","8.71","/cgi-bin/carddisp.pl?gene=CDKN1C"
"SKI","SKI Proto-Oncogene","Protein Coding","66","GC01P002228","8.71","/cgi-bin/carddisp.pl?gene=SKI"
"GABRD","Gamma-Aminobutyric Acid Type A Receptor Delta Subunit","Protein Coding","65","GC01P002019","8.71","/cgi-bin/carddisp.pl?gene=GABRD"
"PRDM16","PR/SET Domain 16","Protein Coding","62","GC01P003068","8.71","/cgi-bin/carddisp.pl?gene=PRDM16"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","61","GC16M023614","8.71","/cgi-bin/carddisp.pl?gene=PALB2"
"KCNAB2","Potassium Voltage-Gated Channel Subfamily A Regulatory Beta Subunit 2","Protein Coding","59","GC01P006020","8.71","/cgi-bin/carddisp.pl?gene=KCNAB2"
"TUBB","Tubulin Beta Class I","Protein Coding","74","GC06P030720","8.4","/cgi-bin/carddisp.pl?gene=TUBB"
"CHGA","Chromogranin A","Protein Coding","65","GC14P092923","7.89","/cgi-bin/carddisp.pl?gene=CHGA"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","71","GC06P039006","7.77","/cgi-bin/carddisp.pl?gene=CDKN1A"
"ANXA5","Annexin A5","Protein Coding","70","GC04M121667","7.61","/cgi-bin/carddisp.pl?gene=ANXA5"
"CSF3","Colony Stimulating Factor 3","Protein Coding","62","GC17P040015","7.33","/cgi-bin/carddisp.pl?gene=CSF3"
"MINOS1-NBL1","MINOS1-NBL1 Readthrough","Protein Coding","24","GC01P019596","7.23","/cgi-bin/carddisp.pl?gene=MINOS1-NBL1"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","72","GC17M044905","7.22","/cgi-bin/carddisp.pl?gene=GFAP"
"S100B","S100 Calcium Binding Protein B","Protein Coding","69","GC21M046599","7.11","/cgi-bin/carddisp.pl?gene=S100B"
"VPS13B","Vacuolar Protein Sorting 13 Homolog B","Protein Coding","51","GC08P099011","7.07","/cgi-bin/carddisp.pl?gene=VPS13B"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","77","GC22M021754","6.88","/cgi-bin/carddisp.pl?gene=MAPK1"
"SSTR2","Somatostatin Receptor 2","Protein Coding","70","GC17P073165","6.44","/cgi-bin/carddisp.pl?gene=SSTR2"
"H19-ICR","H19/IGF2 Imprinting Control Region","Genetic Locus","6","GC11U902738","6.21","/cgi-bin/carddisp.pl?gene=H19-ICR"
"EWSR1","EWS RNA Binding Protein 1","Protein Coding","59","GC22P029269","6.16","/cgi-bin/carddisp.pl?gene=EWSR1"
"PTPRC","Protein Tyrosine Phosphatase, Receptor Type C","Protein Coding","74","GC01P198607","5.99","/cgi-bin/carddisp.pl?gene=PTPRC"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","75","GC12P068808","5.97","/cgi-bin/carddisp.pl?gene=MDM2"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","71","GC09M021957","5.97","/cgi-bin/carddisp.pl?gene=CDKN2A"
"CCND1","Cyclin D1","Protein Coding","75","GC11P069641","5.91","/cgi-bin/carddisp.pl?gene=CCND1"
"FCGR1A","Fc Fragment Of IgG Receptor Ia","Protein Coding","63","GC01P149754","5.89","/cgi-bin/carddisp.pl?gene=FCGR1A"
"NBLST7","Neuroblastoma, Susceptibility To, 7","Genetic Locus","5","GC11U902745","5.74","/cgi-bin/carddisp.pl?gene=NBLST7"
"PPP3R1","Protein Phosphatase 3 Regulatory Subunit B, Alpha","Protein Coding","68","GC02M068143","5.59","/cgi-bin/carddisp.pl?gene=PPP3R1"
"ADGRV1","Adhesion G Protein-Coupled Receptor V1","Protein Coding","44","GC05P090529","5.59","/cgi-bin/carddisp.pl?gene=ADGRV1"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","77","GC07M148807","5.54","/cgi-bin/carddisp.pl?gene=EZH2"
"NPY","Neuropeptide Y","Protein Coding","68","GC07P024290","5.43","/cgi-bin/carddisp.pl?gene=NPY"
"SST","Somatostatin","Protein Coding","65","GC03M187668","5.43","/cgi-bin/carddisp.pl?gene=SST"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","72","GC12P012716","5.42","/cgi-bin/carddisp.pl?gene=CDKN1B"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","80","GC12M057743","5.26","/cgi-bin/carddisp.pl?gene=CDK4"
"QDPR","Quinoid Dihydropteridine Reductase","Protein Coding","69","GC04M017488","5.2","/cgi-bin/carddisp.pl?gene=QDPR"
"CCNA2","Cyclin A2","Protein Coding","69","GC04M121816","5.17","/cgi-bin/carddisp.pl?gene=CCNA2"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","77","GC20P037344","5.11","/cgi-bin/carddisp.pl?gene=SRC"
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","79","GC12P055966","5.07","/cgi-bin/carddisp.pl?gene=CDK2"
"E2F1","E2F Transcription Factor 1","Protein Coding","65","GC20M033675","5.07","/cgi-bin/carddisp.pl?gene=E2F1"
"ATP6V0A2","ATPase H+ Transporting V0 Subunit A2","Protein Coding","61","GC12P123712","5","/cgi-bin/carddisp.pl?gene=ATP6V0A2"
"PMPCA","Peptidase, Mitochondrial Processing Alpha Subunit","Protein Coding","60","GC09P136410","5","/cgi-bin/carddisp.pl?gene=PMPCA"
"MAPRE2","Microtubule Associated Protein RP/EB Family Member 2","Protein Coding","57","GC18P034976","5","/cgi-bin/carddisp.pl?gene=MAPRE2"
"ICR1","Ichthyosis Congenita I, Erythromatous Lamellar Ichthyosis, Ichthyosiform Erythroderma","Genetic Locus","7","GC00U990153","5","/cgi-bin/carddisp.pl?gene=ICR1"
"DEL1P36","Chromosome 1p36 Deletion Syndrome","Uncategorized","5","GC01U902343","5","/cgi-bin/carddisp.pl?gene=DEL1P36"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","78","GC03P012328","4.97","/cgi-bin/carddisp.pl?gene=PPARG"
"SFPQ","Splicing Factor Proline And Glutamine Rich","Protein Coding","61","GC01M035176","4.97","/cgi-bin/carddisp.pl?gene=SFPQ"
"KIF1A","Kinesin Family Member 1A","Protein Coding","60","GC02M240713","4.97","/cgi-bin/carddisp.pl?gene=KIF1A"
